Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Africa Western and Central,AFW,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,39.2694771991274,
Africa Western and Central,AFW,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,36.8904245617287,
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,38.0526124460236,
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",1962,100506960.0,
Arab World,ARB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,60508.4063229127,
Arab World,ARB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,48.8110212040798,
Arab World,ARB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,46.6891225783026,
Arab World,ARB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,47.7317823550181,
Arab World,ARB,SP.POP.TOTL,"Population, total",1962,97334438.0,
Caribbean small states,CSS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,9948.571,
Caribbean small states,CSS,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,55.5440956651719,
Caribbean small states,CSS,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,494.736371870243,
Caribbean small states,CSS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,65.2901420020311,
Caribbean small states,CSS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,61.6547971820065,
Caribbean small states,CSS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,63.4764532438635,
Caribbean small states,CSS,SP.POP.TOTL,"Population, total",1962,4353623.0,
Central Europe and the Baltics,CEB,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1962,0.108225471289599,
Central Europe and the Baltics,CEB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,65890.3737039704,
Central Europe and the Baltics,CEB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,70.6681571884877,
Central Europe and the Baltics,CEB,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,65.4877099939059,
Central Europe and the Baltics,CEB,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,68.0069256418108,
Central Europe and the Baltics,CEB,SP.POP.TOTL,"Population, total",1962,93009498.0,
East Asia & Pacific,EAS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1962,5.25311777194904,
East Asia & Pacific,EAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,231820.144268794,
East Asia & Pacific,EAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,149.662986444837,
East Asia & Pacific,EAS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,51.619536073256,
East Asia & Pacific,EAS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,47.7299084841867,
East Asia & Pacific,EAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,49.5917615522331,
East Asia & Pacific,EAS,SP.POP.TOTL,"Population, total",1962,1058119847.0,
Europe & Central Asia,ECS,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1962,3.38730244191065,
Europe & Central Asia,ECS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,1400584.49119983,
Europe & Central Asia,ECS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,70.6693700810198,
Europe & Central Asia,ECS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,64.4542155934433,
Europe & Central Asia,ECS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,67.4799311019591,
Europe & Central Asia,ECS,SP.POP.TOTL,"Population, total",1962,682397828.0,
European Union,EUU,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1962,3.36467402603956,
European Union,EUU,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1962,44.3424959418842,
European Union,EUU,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,102.373696152312,
European Union,EUU,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,72.1175384007189,
European Union,EUU,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,66.6595937857721,
European Union,EUU,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,69.3183617049612,
European Union,EUU,SP.POP.TOTL,"Population, total",1962,363200480.0,
Latin America & Caribbean,LCN,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,220608.962245829,
Latin America & Caribbean,LCN,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,12.2522975236543,
Latin America & Caribbean,LCN,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,422.653939690034,
Latin America & Caribbean,LCN,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,59.1119281337515,
Latin America & Caribbean,LCN,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,55.0138706494906,
Latin America & Caribbean,LCN,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,57.0052752752459,
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",1962,232183258.0,
Middle East & North Africa,MEA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,85288.1736180838,
Middle East & North Africa,MEA,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,9.34721352536005,
Middle East & North Africa,MEA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,48.8663146767054,
Middle East & North Africa,MEA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,47.4490969700095,
Middle East & North Africa,MEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,48.143018569975,
Middle East & North Africa,MEA,SP.POP.TOTL,"Population, total",1962,111045418.0,
North America,NAC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1962,2.10611878636489,
North America,NAC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,1462388.599,
North America,NAC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1962,47.8529304704392,
North America,NAC,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,40.8002846329954,
North America,NAC,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,3155.09753778965,
North America,NAC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,73.5829597263428,
North America,NAC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,67.0430438203221,
North America,NAC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,70.2327068020475,
North America,NAC,SP.POP.TOTL,"Population, total",1962,205198600.0,
South Asia,SAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,42544.7516949807,
South Asia,SAS,AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),1962,2.9968845537924,
South Asia,SAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,89.9113280359445,
South Asia,SAS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,42.6555615603996,
South Asia,SAS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,44.04697053431,
South Asia,SAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,43.3665356292632,
South Asia,SAS,SP.POP.TOTL,"Population, total",1962,597494450.0,
Sub-Saharan Africa,SSF,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1962,29885.506101729,
Sub-Saharan Africa,SSF,NY.GDP.PCAP.CD,GDP per capita (current US$),1962,147.329089012329,
Sub-Saharan Africa,SSF,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1962,42.7095296653361,
Sub-Saharan Africa,SSF,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1962,39.8624982901773,
Sub-Saharan Africa,SSF,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1962,41.2604174174812,
Sub-Saharan Africa,SSF,SP.POP.TOTL,"Population, total",1962,238121604.0,
Africa Eastern and Southern,AFE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1963,23749.3382062364,
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,GDP per capita (current US$),1963,199.784915835755,
Africa Eastern and Southern,AFE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1963,45.6311615075452,
Africa Eastern and Southern,AFE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1963,42.4665451176718,
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1963,44.0256167023783,
